de	/de/	/de/	[de] 从；的<介>
que	/ke/	/ke/	[ke] 关系代词/连接词<连>
no	/no/	/no/	[no] 不，不是<副>
la	/la/	/la/	[la] 定冠词[阴性单数]<限定>
ser	/ˈseɾ/	/ˈseɾ/	[ˈseɾ] 是<名>
en	/en/	/en/	[en] 在<介>
un	/un/	/un/	[un] 一个[阳性]<限定>
por	/por/	/por/	[por] 通过；因为；为<介>
qué	/ˈke/	/ˈke/	[ˈke] 什么<副>
me	/me/	/me/	[me] 我[宾格]<代>
una	/una/	/una/	[una] 一个[阴性]<限定>
se	/se/	/se/	[se] 自己<代>
te	/te/	/te/	[te] 你[宾格]<代>
con	/kon/	/kon/	[kon] 与<介>
para	/para/	/para/	[para] 为了；给<介>
estar	/esˈtaɾ/	/esˈtaɾ/	[esˈtaɾ] 是<动>
mi	/mi/	/mi/	[mi] 我的<限定>
pero	/pero/	/pero/	[pero] 但是<连>
sí	/ˈsi/	/ˈsi/	[/ˈsi/] 是的<副><noun>
si	/si/	/si/	[si] 如果；是否<连>
bien	/bjen/	/bjen/	[bjen] 好；很<副>
eso	/eso/	/eso/	[eso] 那个<代>
su	/su/	/su/	[su] 他/她/它的<限定>
ellas	/ˈeʝas/	/ˈeʝas/	[ˈeʝas] 他们<代>
yo	/ʒo/	/ʒo/	[ʒo] 我<代>
como	/komo/	/komo/	[komo] 怎样；作为<副>
aquí	/aˈki/	/aˈki/	[aˈki] 这里<副>
tu	/tu/	/tu/	[tu] 你的<限定>
más	/ˈmas/	/ˈmas/	[ˈmas] 更多<副>
le	/le/	/le/	[le] 他/她/您[与格]<代>
éste	/ˈeste/	/ˈeste/	[ˈeste] 这个<代>
todo	/todo/	/todo/	[todo] 所有；全部<限定>
ya	/ja/	/ja/	[ja] 已经；现在<副>
ahora	/aˈoɾa/	/aˈoɾa/	[/aˈoɾa/] 现在<副>
muy	/muj/	/muj/	[muj] 非常<副>
ha	/a/	/a/	[[ˈa] （haber的第三人称单数）已经；有<noun>
esta	/esta/	/esta/	[esta] 这个[阴性]<限定>
así	/aˈsi/	/aˈsi/	[aˈsi] 所以<副>
vamos	/ˈbamos/	/ˈbamos/	[ˈbamos] 我们走吧<叹>
algo	/algo/	/algo/	[algo] 某事；某物<代>
hay	/aj/	/aj/	[aj] 有[存在]<动>
bueno	/ˈbweno/	/ˈbweno/	[ˈbweno] 好<形>
tener	/teˈneɾ/	/teˈneɾ/	[teˈneɾ] 有<动>
él	/ˈel/	/ˈel/	[ˈel] 他<代>
cuando	/kwando/	/kwando/	[kwando] 什么时候<副>
sé	/ˈse/	/ˈse/	[ˈse] 我知道<叹>
tú	/ˈtu/	/ˈtu/	[ˈtu] 你<代>
nosotros	/noˈsotɾos/	/noˈsotɾos/	[noˈsotɾos] 我们<代>
nada	/nada/	/nada/	[nada] 什么也没有<代>
cómo	/ˈkomo/	/ˈkomo/	[ˈkomo] 如何<名>
este	/este/	/este/	[este] 这个<限定>
he	/ˈe/	/ˈe/	[ˈe] 我有<名>
poder	/poˈdeɾ/	/poˈdeɾ/	[/poˈdeɾ/] 能够；权力；能力<noun>
ella	/ˈeʝa/	/ˈeʝa/	[ˈeʝa] 她<代>
querer	/keˈɾeɾ/	/keˈɾeɾ/	[keˈɾeɾ] 想要<名>
hacer	/aˈθeɾ/	/aˈθeɾ/	[aˈθeɾ] 做<名>
ir	/ˈiɾ/	/ˈiɾ/	[ˈiɾ] 去<动>
gracias	/grasjas/	/grasjas/	[grasjas] 谢谢<叹>
vez	/ˈbeθ/	/ˈbeθ/	[ˈbeθ] 时间<名>
era	/ˈeɾa/	/ˈeɾa/	[ˈeɾa] 是<名>
sólo	/ˈsolo/	/ˈsolo/	[ˈsolo] 仅<副>
porque	/ˈpoɾke/	/ˈpoɾke/	[ˈpoɾke] 因为<连>
son	/ˈson/	/ˈson/	[ˈson] 是<名>
crear	/kɾeˈaɾ/	/kɾeˈaɾ/	[kɾeˈaɾ] 创造<动>
sabes	/ˈsabes/	/ˈsabes/	[ˈsabes] 你知道<叹>
puede	/ˈpwede/	/ˈpwede/	[ˈpwede] 可以<叹>
ese	/ˈese/	/ˈese/	[ˈese] 那个<名>
usted	/usˈted/	/usˈted/	[usˈted] 你<代>
entonces	/enˈtonθes/	/enˈtonθes/	[enˈtonθes] 然后<副>
hola	/ola/	/ola/	[ola] 你好<叹>
solo	/ˈsolo/	/ˈsolo/	[ˈsolo] 独自一人<形>
verdad	/beɾˈda/	/beɾˈda/	[beɾˈda] 真实<名>
casa	/ˈkasa/	/ˈkasa/	[ˈkasa] 房子<名>
tan	/tan/	/tan/	[/tan/] 如此；那么<adv>
quién	/ˈkjen/	/ˈkjen/	[ˈkjen] 谁<代>
sus	/sus/	/sus/	[sus] 他们的<形>
tiempo	/ˈtjempo/	/ˈtjempo/	[ˈtjempo] 时间<名>
dos	/ˈdos/	/ˈdos/	[ˈdos] 两个<名>
esa	/ˈesa/	/ˈesa/	[ˈesa] 那个<代>
nunca	/ˈnunka/	/ˈnunka/	[ˈnunka] 从不<副>
dónde	/ˈdonde/	/ˈdonde/	[ˈdonde] 哪里<名>
va	/ˈba/	/ˈba/	[ˈba] 去<叹>
oh	/ˈo/	/ˈo/	[ˈo] 哦<叹>
favor	/faˈboɾ/	/faˈboɾ/	[faˈboɾ] 请<名>
mucho	/ˈmut͡ʃo/	/ˈmut͡ʃo/	[ˈmut͡ʃo] 很多<副>
mí	/ˈmi/	/ˈmi/	[ˈmi] 我<代>
sentar	/senˈtaɾ/	/senˈtaɾ/	[senˈtaɾ] 坐<动>
señor	/seˈɲoɾ/	/seˈɲoɾ/	[seˈɲoɾ] 先生<名>
mejor	/meˈxoɾ/	/meˈxoɾ/	[meˈxoɾ] 更好<形>
hace	/ˈaθe/	/ˈaθe/	[/ˈaθe/] 做；……以前（表时间）<prep>
haber	/aˈbeɾ/	/aˈbeɾ/	[aˈbeɾ] 有<名>
decir	/deˈθiɾ/	/deˈθiɾ/	[deˈθiɾ] 说<名>
también	/tamˈbjen/	/tamˈbjen/	[tamˈbjen] 还有<副>
sobre	/ˈsobɾe/	/ˈsobɾe/	[ˈsobɾe] 关于<名>
dios	/ˈdjos/	/ˈdjos/	[ˈdjos] 上帝<名>
sin	/ˈsin/	/ˈsin/	[ˈsin] 没有<介>
ver	/ˈbeɾ/	/ˈbeɾ/	[ˈbeɾ] 看到<动>
hombre	/ˈombɾe/	/ˈombɾe/	[ˈombɾe] 男人<名>
vida	/ˈbida/	/ˈbida/	[ˈbida] 生活<名>
alguien	/ˈalɡjen/	/ˈalɡjen/	[ˈalɡjen] 某人<代>
cosa	/ˈkosa/	/ˈkosa/	[ˈkosa] 东西<名>
siempre	/ˈsjempɾe/	/ˈsjempɾe/	[ˈsjempɾe] 总是<副>
hasta	/ˈasta/	/ˈasta/	[ˈasta] 直到<副>
ahí	/aˈi/	/aˈi/	[aˈi] 那里<副>
año	/ˈaɲo/	/ˈaɲo/	[ˈaɲo] 年<名>
antes	/ˈantes/	/ˈantes/	[ˈantes] 之前<副>
ni	/ˈni/	/ˈni/	[ˈni] 也不<名>
poco	/ˈpoko/	/ˈpoko/	[ˈpoko] 很少<名>
día	/ˈdia/	/ˈdia/	[ˈdia] 日<名>
uno	/ˈuno/	/ˈuno/	[ˈuno] 一<代>
noche	/ˈnot͡ʃe/	/ˈnot͡ʃe/	[ˈnot͡ʃe] 晚上<名>
hecho	/ˈet͡ʃo/	/ˈet͡ʃo/	[ˈet͡ʃo] 事实<名>
otro	/ˈotɾo/	/ˈotɾo/	[ˈotɾo] 另一个<代>
acuerdo	/aˈkweɾdo/	/aˈkweɾdo/	[aˈkweɾdo] 协议<名>
trabajo	/tɾaˈbaxo/	/tɾaˈbaxo/	[tɾaˈbaxo] 工作<名>
parecer	/paɾeˈθeɾ/	/paɾeˈθeɾ/	[paɾeˈθeɾ] 似乎<名>
gente	/ˈxente/	/ˈxente/	[ˈxente] 人<名>
padre	/ˈpadɾe/	/ˈpadɾe/	[ˈpadɾe] 父亲<名>
mira	/ˈmiɾa/	/ˈmiɾa/	[ˈmiɾa] 看看<名>
mismo	/ˈmismo/	/ˈmismo/	[ˈmismo] 一样<形>
nadie	/ˈnadje/	/ˈnadje/	[ˈnadje] 没有人<名>
hablar	/aˈblaɾ/	/aˈblaɾ/	[aˈblaɾ] 谈话<动>
sr.	/seˈɲoɾ/	/seˈɲoɾ/	[seˈɲoɾ] 先生<名>
tal	/ˈtal/	/ˈtal/	[ˈtal] 这样的<形>
pasa	/ˈpasa/	/ˈpasa/	[ˈpasa] 通过<名>
fuera	/ˈfweɾa/	/ˈfweɾa/	[ˈfweɾa] 出<副>
después	/desˈpwes/	/desˈpwes/	[desˈpwes] 之后<副>
desde	/ˈdesde/	/ˈdesde/	[ˈdesde] 自从<介>
dinero	/diˈneɾo/	/diˈneɾo/	[diˈneɾo] 钱<名>
mundo	/ˈmundo/	/ˈmundo/	[ˈmundo] 世界<名>
claro	/ˈklaɾo/	/ˈklaɾo/	[ˈklaɾo] 清晰<名>
momento	/moˈmento/	/moˈmento/	[moˈmento] 时刻<名>
estado	/esˈtado/	/esˈtado/	[esˈtado] 状态<名>
mañana	/maˈɲana/	/maˈɲana/	[maˈɲana] 明天<名>
madre	/ˈmadɾe/	/ˈmadɾe/	[ˈmadɾe] 妈妈<名>
vale	/ˈbale/	/ˈbale/	[ˈbale] 好的<名>
lugar	/luˈɡaɾ/	/luˈɡaɾ/	[luˈɡaɾ] 地方<名>
donde	/ˈdonde/	/ˈdonde/	[ˈdonde] 哪里<副>
seguro	/seˈɡuɾo/	/seˈɡuɾo/	[seˈɡuɾo] 当然<名>
saber	/saˈbeɾ/	/saˈbeɾ/	[saˈbeɾ] 知道<名>
podar	/poˈdaɾ/	/poˈdaɾ/	[poˈdaɾ] 修剪<动>
espera	/esˈpeɾa/	/esˈpeɾa/	[esˈpeɾa] 等待<名>
nuevo	/ˈnwebo/	/ˈnwebo/	[ˈnwebo] 新的<形>
hijo	/ˈixo/	/ˈixo/	[ˈixo] 儿子<名>
allí	/aˈʝi/	/aˈʝi/	[aˈʝi] 那里<副>
menos	/ˈmenos/	/ˈmenos/	[ˈmenos] 少<名>
tipo	/ˈtipo/	/ˈtipo/	[ˈtipo] 类型<名>
