#	schema=1	kind	word	ukPhonic	usPhonic	value
row	pron	أَنَا			[’anā] 我〈代〉	
row	pron	أَنْتَ			[’anta] 你（男性单数）〈代〉	
row	pron	هُوَ			[huwa] 他〈代〉	
row	pron	هِيَ			[hiya] 她〈代〉	
row	pron	نَحْنُ			[naḥnu] 我们〈代〉	
row	pron	أَنْتُمْ			[’antum] 你们（男性/复数）〈代〉	
row	pron	هُمْ			[hum] 他们〈代〉	
row	pron	هَذَا			[hādhā] 这个（阳性）〈代〉	
row	pron	هَذِهِ			[hādhihi] 这个（阴性/非理智复数）〈代〉	
row	pron	ذَلِكَ			[dhālika] 那个（阳性）〈代〉	
row	pron	تِلْكَ			[tilka] 那个（阴性）〈代〉	
row	pron	هُنَا			[hunā] 这里〈副〉	
row	pron	هُنَاكَ			[hunāka] 那里；有，存在〈副〉	
row	pron	كِتَابٌ			[kitāb] 书，书籍〈名〉	
row	pron	قَلَمٌ			[qalam] 笔〈名〉	
row	pron	مَدْرَسَةٌ			[madrasah] 学校〈名〉	
row	pron	جَامِعَةٌ			[jāmi‘ah] 大学〈名〉	
row	pron	أُسْتَاذٌ			[’ustādh] 教授，老师，先生〈名〉	
row	pron	طَالِبٌ			[ṭālib] 学生（男）〈名〉	
row	pron	طَالِبَةٌ			[ṭālibah] 学生（女）〈名〉	
row	pron	بَيْتٌ			[bayt] 房屋，家〈名〉	
row	pron	غُرْفَةٌ			[ghurfah] 房间〈名〉	
row	pron	بَابٌ			[bāb] 门〈名〉	
row	pron	نَافِذَةٌ			[nāfidhah] 窗户〈名〉	
row	pron	مَاءٌ			[mā’] 水〈名〉	
row	pron	طَعَامٌ			[ṭa‘ām] 食物〈名〉	
row	pron	شَايٌ			[shāy] 茶〈名〉	
row	pron	قَهْوَةٌ			[qahwah] 咖啡〈名〉	
row	pron	خُبْزٌ			[khubz] 面包〈名〉	
row	pron	يَوْمٌ			[yawm] 天，日子〈名〉	
row	pron	أُسْبُوعٌ			[’usbū‘] 周，星期〈名〉	
row	pron	شَهْرٌ			[shahr] 月，月份〈名〉	
row	pron	سَنَةٌ			[sanah] 年，岁〈名〉	
row	pron	صَبَاحٌ			[ṣabāḥ] 早晨，上午〈名〉	
row	pron	مَسَاءٌ			[masā’] 傍晚，晚上〈名〉	
row	pron	وَقْتٌ			[waqt] 时间〈名〉	
row	pron	سَاعَةٌ			[sā‘ah] 小时；钟表〈名〉	
row	pron	أَبٌ			[’ab] 父亲〈名〉	
row	pron	أُمٌّ			[’umm] 母亲〈名〉	
