#	schema=1	kind	word	ukPhonic	usPhonic	value
row	pron	que	ki	ki	[ki] 那个；谁；什么<代>	
row	pron	não	nãw̃	nãw̃	[nãw̃] 不，不是<副>	
row	pron	de	dʒi	dʒi	[dʒi] 的；从<介>	
row	pron	um	ũ̃	ũ̃	[ũ̃] 一个（阳性）<限定>	
row	pron	para	paɾɐ	paɾɐ	[paɾɐ] 为了；给<介>	
row	pron	eu	ew	ew	[ew] 我<代>	
row	pron	estar	/isˈta(ʁ)/	/isˈta(ʁ)/	[isˈta(ʁ)] 是<动>	
row	pron	com	kõ̃	kõ̃	[kõ̃] 和，用，以<介>	
row	pron	se	/si/	/si/	[si] 如果<代>	
row	pron	por	puɾ	puɾ	[puɾ] 通过；因为；为<介>	
row	pron	os	/us/	/us/	[us] 的<代>	
row	pron	ele	/ˈɛ.li/	/ˈɛ.li/	[ˈɛ.li] 他<名>	
row	pron	mas	mas	mas	[mas] 但是<连>	
row	pron	em	ẽ̃	ẽ̃	[ẽ̃] 在……里<介>	
row	pron	bem	bẽ̃j	bẽ̃j	[bẽ̃j] 好；很<副>	
row	pron	isso	ˈisu	ˈisu	[ˈisu] 那个<代>	
row	pron	da	da	da	[da] 的<动>	
row	pron	como	kɐˈmu	kɐˈmu	[kɐˈmu] 怎样；作为<副>	
row	pron	sim	/ˈsĩ/	/ˈsĩ/	[ˈsĩ] 是的<名>	
row	pron	as	/as/	/as/	[as] 的<代>	
row	pron	no	nu	nu	[nu] 在<名>	
row	pron	mais	majs	majs	[majs] 更；更多<副>	
row	pron	na	/na/	/na/	[na] 在<代>	
row	pron	meu	mew	mew	[mew] 我的<限定>	
row	pron	aqui	ɐˈki	ɐˈki	[ɐˈki] 这里<副>	
row	pron	me	/mi/	/mi/	[mi] 我<代>	
row	pron	muito	muj̃tu	muj̃tu	[muj̃tu] 非常；很<副>	
row	pron	foi	/ˈfoj/	/ˈfoj/	[ˈfoj] 是<叹>	
row	pron	ela	ˈɛ.lə	ˈɛ.lə	[ˈɛ.lə] 她<名>	
row	pron	isto	ˈistu	ˈistu	[ˈistu] 这个<代>	
row	pron	estou	/isˈto(w)/	/isˈto(w)/	[isˈto(w)] 我是<叹>	
row	pron	fazer	/faˈze(ʁ)/	/faˈze(ʁ)/	[faˈze(ʁ)] 做<动>	
row	pron	vamos	/ˈvɐ̃.mus/	/ˈvɐ̃.mus/	[ˈvɐ̃.mus] 我们走吧<叹>	
row	pron	já	ʒɐ	ʒɐ	[ʒɐ] 已经<副>	
row	pron	ser	/ˈse(ʁ)/	/ˈse(ʁ)/	[ˈse(ʁ)] 是<名>	
