que	ki	ki	[ki] 那个；谁；什么<代>
não	nãw̃	nãw̃	[nãw̃] 不，不是<副>
de	dʒi	dʒi	[dʒi] 的；从<介>
um	ũ̃	ũ̃	[ũ̃] 一个（阳性）<限定>
para	paɾɐ	paɾɐ	[paɾɐ] 为了；给<介>
eu	ew	ew	[ew] 我<代>
estar	/isˈta(ʁ)/	/isˈta(ʁ)/	[isˈta(ʁ)] 是<动>
com	kõ̃	kõ̃	[kõ̃] 和，用，以<介>
se	/si/	/si/	[si] 如果<代>
por	puɾ	puɾ	[puɾ] 通过；因为；为<介>
os	/us/	/us/	[us] 的<代>
ele	/ˈɛ.li/	/ˈɛ.li/	[ˈɛ.li] 他<名>
mas	mas	mas	[mas] 但是<连>
em	ẽ̃	ẽ̃	[ẽ̃] 在……里<介>
bem	bẽ̃j	bẽ̃j	[bẽ̃j] 好；很<副>
isso	ˈisu	ˈisu	[ˈisu] 那个<代>
da	da	da	[da] 的<动>
como	kɐˈmu	kɐˈmu	[kɐˈmu] 怎样；作为<副>
sim	/ˈsĩ/	/ˈsĩ/	[ˈsĩ] 是的<名>
as	/as/	/as/	[as] 的<代>
no	nu	nu	[nu] 在<名>
mais	majs	majs	[majs] 更；更多<副>
na	/na/	/na/	[na] 在<代>
meu	mew	mew	[mew] 我的<限定>
aqui	ɐˈki	ɐˈki	[ɐˈki] 这里<副>
me	/mi/	/mi/	[mi] 我<代>
muito	muj̃tu	muj̃tu	[muj̃tu] 非常；很<副>
foi	/ˈfoj/	/ˈfoj/	[ˈfoj] 是<叹>
ela	ˈɛ.lə	ˈɛ.lə	[ˈɛ.lə] 她<名>
isto	ˈistu	ˈistu	[ˈistu] 这个<代>
estou	/isˈto(w)/	/isˈto(w)/	[isˈto(w)] 我是<叹>
fazer	/faˈze(ʁ)/	/faˈze(ʁ)/	[faˈze(ʁ)] 做<动>
vamos	/ˈvɐ̃.mus/	/ˈvɐ̃.mus/	[ˈvɐ̃.mus] 我们走吧<叹>
já	ʒɐ	ʒɐ	[ʒɐ] 已经<副>
ser	/ˈse(ʁ)/	/ˈse(ʁ)/	[ˈse(ʁ)] 是<名>
ir	/ˈi(ʁ)/	/ˈi(ʁ)/	[ˈi(ʁ)] 去<动>
